Date,Transaction Description,Debit,Credit,Balance
27/09/23,RIB/MB TRF FROM CA/SA,.0,200.00,3432.90
27/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,3532.90
27/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,3632.90
27/09/23,RIB/MB TRF FROM CA/SA,1,00,100,00,3732,90
28/09/23,RIB/VMB TRF FROM CA/SA,.0,150.00,3882.90
28/09/23,RIB/NB TRF FROM CA/SA,.0,201.00,4083.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,1001.00,5084.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,201.00,5285.90
28/09/23,RiB/MB TRF FROM CA/SA,.0,51.00,5336.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,101.00,5437.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,101.00,5538.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,800.00,5838.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,101.00,5039.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,101.00,6040.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,6090.90
28/09/23,RIB/NB TRF FROM CA/SA,.0,201.00,6291.00
28/09/23,RIB/MB TRF FROM CA/SA,.0,1000.00,7291.80
28/09/23,RIB/MB TRF FROM CA/SA,.0,500.00,7791.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,500.00,8291.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,1000.00,9291.90
29/09/23,RIB/MB TRF FROM CA/SA,.00,1200,00.10491
20/09/23,RIB/MB TRF FROM CA/SA,.0,250.00,10741.90
29/09/23,RIB/MB TRF FROM CA/SA,.0,260.00,10801.90
20/09/23,RIB/MB TRF FROM CA/SA,.0,1000.00,11801.90
29/09/23,DEBIT ADVICE,8758.00,.00,8292.20
20/09/23,SERVICE CHARGE,2.007,.00,3230.90
29/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,3250.90
29/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,3330.90
29/09/23,RIB/MB TRF FROM CA/SA,.0,500.00,8830.90
30/08/23,RIB/MB TRF FROM CA/SA,.0,3000.00,6830.90
